id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Street Flow Cipher,Loose Cannons,hip-hop,energetic,0.85,90,0.62,0.84,0.08
12,Neon Sphere,Synth Masters,electronic,energetic,0.88,128,0.71,0.79,0.03
13,Island Breeze,Steel Drum Band,reggae,relaxed,0.52,94,0.76,0.71,0.78
14,Symphony No. 5,Orchestra Harmony,classical,peaceful,0.38,80,0.68,0.24,0.95
15,Thunder Strike,Iron Fist,metal,intense,0.95,165,0.35,0.62,0.12
16,Tennessee Home,Dusty Trails,country,melancholic,0.55,102,0.51,0.68,0.82
17,Velvet Love,Soul Dynasty,rnb,moody,0.68,95,0.72,0.76,0.35
18,Midnight Blues,Deep Soul,blues,melancholic,0.45,85,0.48,0.52,0.87
